0	2	4
11	6	2
11	6	12
11	7	8
11	8	7
11	12	6
11	13	2
12	2	5
12	2	13
12	5	2
12	6	2
12	6	12
12	7	8
12	8	7
12	12	6
12	13	2
13	2	5
13	2	13
13	5	2
13	6	2
13	6	12
13	7	8
13	8	7
13	12	6
13	13	2
14	0	2
14	2	5
14	2	6
14	2	11
14	2	12
14	2	13
14	3	6
14	3	12
14	3	13
14	4	7
14	4	12
14	4	13
14	5	2
14	5	13
14	6	2
14	6	3
14	6	9
14	6	11
14	6	13
14	8	7
14	10	13
14	11	2
14	11	12
14	11	13
14	12	5
14	12	6
14	12	11
14	13	2
14	13	3
14	13	4
14	13	5
14	13	6
14	13	10
14	13	11
15	4	12
15	6	3
16	4	12
16	6	3
16	10	13
16	11	13
16	12	11
17	2	11
17	3	12
17	6	13
17	11	12
17	11	13
17	13	4
17	13	6
17	13	11
18	2	13
18	11	13
19	2	5
19	2	6
19	2	11
19	2	12
19	2	13
19	3	13
19	4	7
19	4	13
19	5	2
19	5	13
19	6	2
19	6	12
19	6	13
19	7	8
19	8	7
19	10	13
19	11	2
19	11	13
19	12	11
19	13	0
19	13	2
19	13	3
19	13	6
19	13	11
20	2	5
20	2	6
20	2	11
20	2	12
20	2	13
20	3	13
20	4	13
20	5	2
20	5	12
20	6	2
20	6	12
20	6	13
20	7	8
20	8	7
20	10	2
20	10	13
20	11	2
20	11	7
20	11	13
20	12	11
20	13	2
20	13	3
20	13	11
21	2	5
21	2	6
21	2	11
21	2	12
21	5	2
21	5	7
21	5	13
21	7	8
21	8	7
21	10	13
21	11	13
21	12	3
21	12	4
21	12	10
21	12	11
21	12	13
21	13	6
21	13	10
21	13	11
22	5	6
22	6	2
22	6	5
22	6	13
22	11	13
23	5	6
24	0	13
24	2	11
24	2	13
24	3	13
24	5	2
24	5	6
24	5	13
24	6	2
24	6	3
24	6	5
24	6	13
24	11	12
24	11	13
24	12	13
24	13	3
24	13	11
25	0	9
25	0	12
25	1	9
25	1	12
25	1	13
25	3	7
25	3	9
25	3	12
25	3	13
25	4	7
25	4	9
25	4	12
25	4	13
25	5	9
25	5	12
25	5	13
25	7	3
25	7	4
25	7	9
25	7	10
25	7	11
25	7	12
25	7	13
25	8	9
25	8	12
25	8	13
25	9	0
25	9	1
25	9	3
25	9	4
25	9	5
25	9	7
25	9	8
25	9	10
25	9	11
25	9	12
25	10	7
25	10	9
25	10	12
25	10	13
25	11	7
25	11	9
25	11	12
25	11	13
25	12	0
25	12	1
25	12	3
25	12	4
25	12	5
25	12	7
25	12	8
25	12	9
25	12	10
25	12	11
25	12	13
25	13	1
25	13	3
25	13	4
25	13	5
25	13	7
25	13	8
25	13	10
25	13	11
25	13	12
26	0	7
26	0	12
26	1	12
26	3	7
26	3	12
26	4	7
26	4	12
26	5	7
26	5	10
26	5	11
26	5	12
26	7	0
26	7	3
26	7	4
26	7	5
26	7	9
26	7	10
26	7	11
26	7	12
26	7	13
26	8	12
26	9	7
26	9	10
26	9	11
26	9	12
26	10	5
26	10	7
26	10	9
26	10	12
26	11	5
26	11	7
26	11	9
26	11	12
26	12	0
26	12	1
26	12	3
26	12	4
26	12	5
26	12	7
26	12	8
26	12	9
26	12	10
26	12	11
26	12	13
26	13	7
26	13	12
27	0	13
27	2	11
27	7	12
27	8	4
27	9	12
27	9	13
27	10	11
27	11	10
27	12	4
27	12	5
27	12	7
27	12	8
27	12	9
27	12	11
27	12	13
27	13	0
27	13	4
27	13	5
27	13	7
27	13	8
27	13	9
27	13	11
27	13	12
28	2	11
28	8	4
28	9	7
28	9	12
28	10	11
28	11	5
28	11	10
28	12	0
28	12	4
28	12	5
28	12	7
28	12	8
28	12	9
28	12	11
28	12	13
28	13	0
28	13	4
28	13	5
28	13	7
28	13	8
28	13	9
28	13	11
28	13	12
29	3	11
29	7	12
29	7	13
29	8	4
29	9	4
29	9	7
29	9	11
29	9	12
29	9	13
29	10	11
29	11	10
29	12	4
29	12	7
29	12	9
29	12	11
29	12	13
29	13	9
29	13	12
30	0	13
30	2	13
30	3	13
30	5	13
30	7	13
30	8	13
30	9	13
30	10	13
30	12	13
30	13	12
31	3	13
31	7	13
31	9	13
31	10	13
31	12	13
32	0	13
32	3	13
32	7	13
32	8	13
32	9	13
32	10	13
32	12	13
32	13	12
33	0	13
33	4	12
33	4	13
33	5	12
33	5	13
33	6	2
33	6	13
33	7	13
33	8	4
33	8	13
33	9	13
33	10	13
33	12	13
33	13	12
34	0	13
34	4	12
34	4	13
34	5	12
34	5	13
34	6	4
34	7	13
34	8	4
34	8	13
34	9	13
34	12	13
34	13	12
35	0	13
35	2	3
35	2	11
35	3	2
35	3	11
35	4	11
35	5	11
35	5	12
35	5	13
35	6	9
35	6	13
35	9	12
35	9	13
35	10	11
35	10	12
35	11	2
35	11	3
35	11	4
35	11	5
35	11	10
35	11	12
35	12	5
35	12	7
35	12	9
35	12	11
35	12	13
35	13	0
35	13	4
35	13	5
35	13	7
35	13	9
35	13	12
36	0	9
36	0	12
36	0	13
36	1	2
36	1	5
36	1	6
36	1	11
36	1	12
36	2	3
36	2	11
36	2	12
36	3	2
36	3	11
36	4	2
36	4	5
36	4	11
36	4	13
36	5	4
36	5	11
36	5	12
36	5	13
36	6	2
36	6	9
36	6	11
36	6	13
36	7	9
36	7	12
36	7	13
36	8	5
36	9	12
36	9	13
36	10	11
36	10	12
36	10	13
36	11	3
36	11	10
36	11	12
36	12	9
36	12	13
36	13	5
36	13	9
36	13	12
37	0	9
37	0	12
37	0	13
37	1	2
37	1	5
37	1	6
37	1	11
37	1	12
37	3	2
37	3	11
37	3	12
37	4	2
37	4	5
37	4	10
37	4	11
37	4	12
37	4	13
37	5	11
37	5	12
37	5	13
37	6	2
37	6	9
37	6	13
37	7	9
37	7	12
37	7	13
37	8	5
37	9	12
37	9	13
37	10	11
37	10	12
37	12	5
37	12	9
37	12	13
38	0	3
38	0	4
38	0	5
38	0	6
38	0	7
38	0	9
38	0	10
38	0	12
38	0	13
38	1	5
38	3	0
38	3	9
38	3	12
38	3	13
38	4	0
38	4	5
38	4	6
38	4	7
38	4	9
38	4	12
38	4	13
38	5	0
38	5	1
38	5	4
38	5	6
38	5	7
38	5	9
38	5	10
38	5	12
38	5	13
38	6	0
38	6	4
38	6	5
38	6	9
38	6	12
38	6	13
38	7	0
38	7	4
38	7	5
38	7	9
38	7	10
38	7	12
38	7	13
38	9	0
38	9	3
38	9	4
38	9	5
38	9	6
38	9	7
38	9	10
38	9	11
38	9	12
38	9	13
38	10	0
38	10	5
38	10	7
38	10	9
38	10	11
38	10	12
38	10	13
38	11	9
38	11	10
38	11	12
38	11	13
38	12	0
38	12	3
38	12	4
38	12	5
38	12	6
38	12	7
38	12	9
38	12	10
38	12	11
38	12	13
38	13	0
38	13	3
38	13	4
38	13	5
38	13	6
38	13	7
38	13	9
38	13	10
38	13	11
38	13	12
39	0	3
39	0	5
39	0	7
39	0	9
39	0	12
39	0	13
39	1	0
39	1	3
39	1	4
39	1	5
39	1	6
39	1	7
39	1	8
39	1	9
39	1	10
39	1	12
39	1	13
39	2	0
39	2	5
39	2	9
39	2	10
39	3	0
39	3	4
39	3	5
39	3	6
39	3	7
39	3	9
39	3	10
39	3	12
39	3	13
39	4	0
39	4	5
39	4	6
39	4	7
39	4	9
39	4	12
39	4	13
39	5	0
39	5	4
39	5	6
39	5	7
39	5	9
39	5	12
39	5	13
39	6	0
39	6	1
39	6	3
39	6	4
39	6	5
39	6	7
39	6	9
39	6	10
39	6	12
39	6	13
39	7	0
39	7	4
39	7	5
39	7	9
39	7	10
39	7	12
39	7	13
39	8	0
39	8	1
39	8	3
39	8	4
39	8	5
39	8	6
39	8	7
39	8	9
39	8	10
39	8	11
39	8	12
39	8	13
39	9	12
39	10	0
39	10	5
39	10	7
39	10	9
39	10	11
39	10	12
39	10	13
39	11	0
39	11	5
39	11	7
39	11	9
39	11	10
39	11	12
39	11	13
39	12	9
39	12	13
39	13	0
39	13	5
39	13	9
39	13	12
40	0	3
40	0	4
40	0	5
40	0	7
40	0	9
40	0	10
40	0	12
40	0	13
40	3	0
40	3	9
40	3	13
40	4	0
40	4	5
40	4	7
40	4	9
40	4	12
40	4	13
40	5	0
40	5	4
40	5	7
40	5	9
40	5	10
40	5	12
40	5	13
40	7	0
40	7	4
40	7	5
40	7	9
40	7	10
40	7	12
40	7	13
40	9	0
40	9	3
40	9	4
40	9	5
40	9	7
40	9	10
40	9	11
40	9	12
40	9	13
40	10	0
40	10	5
40	10	7
40	10	9
40	10	11
40	10	12
40	10	13
40	11	9
40	11	10
40	11	12
40	11	13
40	12	0
40	12	4
40	12	5
40	12	7
40	12	9
40	12	10
40	12	11
40	12	13
40	13	0
40	13	3
40	13	4
40	13	5
40	13	7
40	13	9
40	13	10
40	13	11
40	13	12
41	0	5
41	0	7
41	0	9
41	0	12
41	0	13
41	1	0
41	1	3
41	1	4
41	1	5
41	1	6
41	1	7
41	1	9
41	1	12
41	1	13
41	2	0
41	2	4
41	2	5
41	2	7
41	2	9
41	2	10
41	2	11
41	2	12
41	2	13
41	3	0
41	3	4
41	3	5
41	3	7
41	3	9
41	3	10
41	3	12
41	3	13
41	4	0
41	4	5
41	4	7
41	4	9
41	4	10
41	4	12
41	4	13
41	5	0
41	5	7
41	5	9
41	5	12
41	5	13
41	6	0
41	6	3
41	6	4
41	6	5
41	6	7
41	6	9
41	6	10
41	6	12
41	6	13
41	7	0
41	7	5
41	7	9
41	7	10
41	7	12
41	7	13
41	8	0
41	8	1
41	8	3
41	8	4
41	8	5
41	8	7
41	8	9
41	8	10
41	8	12
41	8	13
41	9	12
41	9	13
41	10	0
41	10	5
41	10	7
41	10	9
41	10	11
41	10	12
41	10	13
41	11	0
41	11	5
41	11	7
41	11	9
41	11	10
41	11	12
41	11	13
41	12	9
41	12	13
41	13	0
41	13	5
41	13	7
41	13	9
41	13	12
42	0	3
42	0	5
42	0	7
42	0	9
42	0	12
42	0	13
42	1	0
42	1	4
42	1	5
42	1	6
42	1	9
42	1	12
42	1	13
42	2	0
42	2	3
42	2	4
42	2	5
42	2	9
42	2	10
42	2	11
42	2	12
42	2	13
42	3	0
42	3	4
42	3	5
42	3	7
42	3	9
42	3	12
42	3	13
42	4	0
42	4	5
42	4	7
42	4	9
42	4	12
42	4	13
42	5	0
42	5	4
42	5	6
42	5	7
42	5	9
42	5	12
42	5	13
42	6	0
42	6	4
42	6	5
42	6	9
42	6	12
42	6	13
42	7	0
42	7	4
42	7	5
42	7	9
42	7	12
42	7	13
42	8	4
42	8	7
42	9	0
42	9	4
42	9	5
42	9	7
42	9	10
42	9	12
42	9	13
42	10	0
42	10	4
42	10	5
42	10	7
42	10	9
42	10	11
42	10	12
42	10	13
42	11	0
42	11	4
42	11	5
42	11	7
42	11	9
42	11	10
42	11	12
42	11	13
42	12	0
42	12	4
42	12	5
42	12	7
42	12	9
42	12	10
42	12	13
42	13	0
42	13	3
42	13	4
42	13	5
42	13	7
42	13	9
42	13	12
43	0	5
43	0	7
43	0	9
43	0	10
43	0	12
43	0	13
43	1	0
43	1	5
43	1	7
43	1	9
43	1	12
43	1	13
43	2	0
43	2	5
43	2	7
43	2	9
43	2	10
43	2	12
43	2	13
43	3	0
43	3	5
43	3	7
43	3	9
43	3	10
43	3	12
43	3	13
43	4	0
43	4	5
43	4	7
43	4	9
43	4	10
43	4	12
43	4	13
43	5	0
43	5	7
43	5	9
43	5	10
43	5	12
43	5	13
43	6	0
43	6	4
43	6	5
43	6	7
43	6	9
43	6	12
43	6	13
43	7	0
43	7	5
43	7	9
43	7	10
43	7	12
43	7	13
43	8	0
43	8	4
43	8	5
43	8	7
43	8	9
43	8	12
43	8	13
43	9	0
43	9	5
43	9	7
43	9	10
43	9	12
43	9	13
43	10	0
43	10	5
43	10	7
43	10	9
43	10	11
43	10	12
43	10	13
43	11	0
43	11	4
43	11	5
43	11	7
43	11	9
43	11	10
43	11	12
43	11	13
43	12	0
43	12	5
43	12	7
43	12	9
43	12	10
43	12	13
43	13	0
43	13	5
43	13	7
43	13	9
43	13	10
43	13	12
44	0	4
44	0	5
44	0	6
44	0	9
44	0	10
44	0	11
44	0	12
44	0	13
44	1	2
44	1	4
44	1	5
44	1	6
44	1	7
44	1	10
44	1	11
44	1	12
44	1	13
44	2	1
44	2	3
44	2	4
44	2	5
44	2	6
44	2	9
44	2	10
44	2	11
44	2	12
44	3	2
44	3	4
44	3	5
44	3	6
44	3	7
44	3	9
44	3	10
44	3	11
44	3	12
44	4	0
44	4	1
44	4	2
44	4	3
44	4	5
44	4	6
44	4	9
44	4	10
44	4	11
44	4	12
44	4	13
44	5	0
44	5	2
44	5	3
44	5	4
44	5	8
44	5	9
44	5	11
44	5	12
44	5	13
44	6	0
44	6	1
44	6	2
44	6	3
44	6	4
44	6	5
44	6	8
44	6	9
44	6	10
44	6	11
44	6	12
44	6	13
44	7	0
44	7	1
44	7	3
44	7	9
44	7	10
44	7	11
44	7	12
44	7	13
44	8	4
44	8	5
44	8	11
44	8	12
44	8	13
44	9	0
44	9	1
44	9	2
44	9	3
44	9	4
44	9	5
44	9	6
44	9	7
44	9	8
44	9	10
44	9	11
44	9	12
44	9	13
44	10	0
44	10	1
44	10	2
44	10	3
44	10	4
44	10	5
44	10	6
44	10	7
44	10	8
44	10	9
44	10	11
44	10	12
44	10	13
44	11	1
44	11	2
44	11	3
44	11	4
44	11	5
44	11	6
44	11	7
44	11	9
44	11	10
44	11	12
44	11	13
44	12	0
44	12	1
44	12	2
44	12	3
44	12	4
44	12	5
44	12	6
44	12	7
44	12	8
44	12	9
44	12	10
44	12	11
44	12	13
44	13	0
44	13	1
44	13	4
44	13	5
44	13	6
44	13	7
44	13	8
44	13	9
44	13	10
44	13	11
44	13	12
45	0	4
45	0	5
45	0	6
45	0	9
45	0	10
45	0	11
45	0	12
45	0	13
45	1	2
45	1	4
45	1	5
45	1	6
45	1	7
45	1	10
45	1	11
45	1	12
45	1	13
45	2	1
45	2	3
45	2	4
45	2	5
45	2	6
45	2	9
45	2	10
45	2	11
45	2	12
45	3	2
45	3	4
45	3	5
45	3	6
45	3	7
45	3	9
45	3	10
45	3	11
45	3	12
45	4	0
45	4	1
45	4	2
45	4	3
45	4	5
45	4	6
45	4	9
45	4	10
45	4	11
45	4	12
45	4	13
45	6	0
45	6	1
45	6	2
45	6	3
45	6	4
45	6	5
45	6	8
45	6	9
45	6	10
45	6	11
45	6	12
45	6	13
45	8	4
45	8	5
45	8	11
45	8	12
45	8	13
45	10	0
45	10	1
45	10	2
45	10	3
45	10	4
45	10	5
45	10	6
45	10	7
45	10	8
45	10	9
45	10	11
45	10	12
45	10	13
45	11	1
45	11	2
45	11	3
45	11	4
45	11	5
45	11	6
45	11	7
45	11	9
45	11	10
45	11	12
45	11	13
46	1	12
46	1	13
46	2	5
46	2	12
46	2	13
46	3	13
46	4	7
46	4	12
46	5	2
46	6	9
46	7	4
46	7	8
46	8	7
46	9	6
46	10	11
46	11	10
46	12	1
46	12	2
46	12	4
46	13	2
46	13	3
47	0	2
47	0	3
47	0	4
47	0	5
47	0	9
47	0	10
47	0	11
47	0	12
47	0	13
47	2	0
47	2	3
47	2	4
47	2	5
47	2	9
47	2	10
47	2	11
47	2	12
47	2	13
47	3	0
47	3	2
47	3	4
47	3	5
47	3	9
47	3	10
47	3	11
47	3	12
47	3	13
47	4	0
47	4	2
47	4	3
47	4	5
47	4	8
47	4	9
47	4	10
47	4	11
47	4	12
47	4	13
47	5	0
47	5	2
47	5	3
47	5	4
47	5	9
47	5	10
47	5	11
47	5	12
47	5	13
47	7	12
47	7	13
47	8	4
47	9	0
47	9	2
47	9	3
47	9	4
47	9	5
47	9	10
47	9	11
47	9	12
47	9	13
47	10	0
47	10	2
47	10	3
47	10	4
47	10	5
47	10	9
47	10	11
47	10	12
47	10	13
47	11	0
47	11	2
47	11	3
47	11	4
47	11	5
47	11	9
47	11	10
47	11	12
47	11	13
47	12	0
47	12	2
47	12	3
47	12	4
47	12	5
47	12	7
47	12	9
47	12	10
47	12	11
47	12	13
47	13	0
47	13	2
47	13	3
47	13	4
47	13	5
47	13	9
47	13	10
47	13	11
47	13	12
48	7	8
48	9	6
48	10	11
49	1	12
49	3	13
49	4	12
49	5	12
49	6	9
49	8	12
49	10	11
50	0	2
50	0	3
50	0	4
50	0	9
50	0	10
50	0	11
50	0	12
50	0	13
50	2	0
50	2	3
50	2	4
50	2	8
50	2	9
50	2	10
50	2	11
50	2	12
50	2	13
50	3	0
50	3	2
50	3	4
50	3	9
50	3	10
50	3	11
50	3	12
50	3	13
50	4	0
50	4	2
50	4	3
50	4	8
50	4	9
50	4	10
50	4	11
50	4	12
50	4	13
50	9	0
50	9	2
50	9	3
50	9	4
50	9	8
50	9	10
50	9	11
50	9	12
50	9	13
50	10	0
50	10	2
50	10	3
50	10	4
50	10	9
50	10	11
50	10	12
50	10	13
50	11	0
50	11	2
50	11	3
50	11	4
50	11	8
50	11	9
50	11	10
50	11	12
50	11	13
50	12	0
50	12	2
50	12	3
50	12	4
50	12	8
50	12	9
50	12	10
50	12	11
50	12	13
50	13	0
50	13	2
50	13	3
50	13	4
50	13	8
50	13	9
50	13	10
50	13	11
50	13	12
51	0	2
51	0	3
51	0	10
51	0	11
51	2	0
51	2	9
51	2	12
51	2	13
51	3	9
51	3	12
51	3	13
51	9	2
51	9	3
51	9	10
51	9	11
51	10	0
51	10	9
51	10	12
51	10	13
51	11	0
51	11	9
51	11	12
51	11	13
51	12	2
51	12	3
51	12	10
51	12	11
51	13	2
51	13	3
51	13	10
51	13	11
52	0	2
52	0	3
52	0	10
52	0	11
52	1	11
52	1	13
52	2	0
52	2	9
52	2	12
52	2	13
52	3	0
52	3	9
52	3	12
52	3	13
52	4	11
52	4	13
52	5	11
52	5	13
52	6	11
52	6	13
52	7	11
52	7	13
52	8	11
52	8	13
52	9	2
52	9	3
52	9	10
52	9	11
52	10	0
52	10	9
52	10	12
52	10	13
52	11	0
52	11	1
52	11	4
52	11	5
52	11	6
52	11	7
52	11	8
52	11	9
52	11	12
52	11	13
52	12	2
52	12	3
52	12	10
52	12	11
52	13	1
52	13	2
52	13	3
52	13	4
52	13	5
52	13	6
52	13	7
52	13	8
52	13	10
52	13	11
53	0	13
53	2	3
53	3	11
53	4	8
53	5	13
53	6	13
53	7	13
53	8	4
53	9	12
53	9	13
53	10	11
53	11	3
53	11	10
53	12	9
53	12	13
53	13	0
53	13	5
53	13	6
53	13	7
53	13	9
53	13	12
54	0	1
54	0	4
54	0	5
54	0	6
54	0	7
54	0	8
54	1	0
54	1	2
54	1	3
54	1	9
54	1	10
54	1	11
54	1	12
54	1	13
54	2	1
54	2	4
54	2	5
54	2	6
54	2	7
54	2	8
54	3	0
54	3	1
54	3	4
54	3	5
54	3	6
54	3	7
54	3	8
54	4	0
54	4	2
54	4	3
54	4	9
54	4	10
54	4	11
54	4	12
54	4	13
54	5	0
54	5	2
54	5	3
54	5	9
54	5	10
54	5	11
54	5	12
54	5	13
54	6	0
54	6	2
54	6	3
54	6	9
54	6	10
54	6	11
54	6	12
54	6	13
54	7	0
54	7	2
54	7	3
54	7	9
54	7	10
54	7	11
54	7	12
54	7	13
54	8	0
54	8	2
54	8	3
54	8	9
54	8	10
54	8	11
54	8	12
54	8	13
54	9	1
54	9	4
54	9	5
54	9	6
54	9	7
54	9	8
54	10	1
54	10	4
54	10	5
54	10	6
54	10	7
54	10	8
54	11	1
54	11	4
54	11	5
54	11	6
54	11	7
54	11	8
54	12	1
54	12	4
54	12	5
54	12	6
54	12	7
54	12	8
54	13	1
54	13	4
54	13	5
54	13	6
54	13	7
54	13	8
55	0	9
55	0	12
55	0	13
55	1	4
55	1	5
55	1	6
55	1	7
55	1	8
55	2	3
55	2	10
55	2	11
55	3	2
55	3	10
55	3	11
55	4	1
55	4	5
55	4	6
55	4	7
55	4	8
55	5	1
55	5	4
55	5	6
55	5	7
55	5	8
55	6	1
55	6	4
55	6	5
55	6	7
55	6	8
55	7	1
55	7	4
55	7	5
55	7	6
55	7	8
55	8	1
55	8	4
55	8	5
55	8	6
55	8	7
55	9	0
55	9	12
55	9	13
55	10	2
55	10	3
55	10	11
55	11	2
55	11	3
55	11	10
55	12	0
55	12	9
55	12	13
55	13	0
55	13	9
55	13	12
